Instancia,Algoritmo,Tempo de execucao (s),Uso de memoria (MB),Solucao
a10.tsp, twice_around_tree, 0.0010008811950683594, 0.0703125, 3439.0
a10.tsp, christofides, 0.0020024776458740234,  0.1015625,  2900.0
a10.tsp, branch_and_bound, 7.4109766483306885,  2.4140625,  2160.0
b15.tsp, twice_around_tree, 0.002002239227294922,  0.09375,  3345.0
b15.tsp, christofides, 0.008352041244506836,  0.125,  2782.0
b15.tsp, branch_and_bound, Timeout, 1, 0
a20.tsp, twice_around_tree, 0.0,  0.125,  3488.0
a20.tsp, christofides, 0.0,  0.17578125,  3236.0
a30.tsp, twice_around_tree, 0.0,  0.171875,  4364.0
a30.tsp, christofides, 0.0,  0.2421875,  3844.0
eil51.tsp, twice_around_tree, 0.01564621925354004,  0.64453125,  584.0
eil51.tsp, christofides, 0.025173187255859375,  0.69921875,  462.0
berlin52.tsp, twice_around_tree, 0.0,  0.62109375,  10114.0
berlin52.tsp, christofides, 0.015623331069946289,  0.69921875,  8591.0
st70.tsp, twice_around_tree, 0.015634536743164062,  1.02734375,  888.0
st70.tsp, christofides, 0.07812905311584473,  1.20703125,  770.0
eil76.tsp, twice_around_tree, 0.01563286781311035,  1.1875,  696.0
eil76.tsp, christofides, 0.09377479553222656,  1.39453125,  608.0
pr76.tsp, twice_around_tree, 0.023123979568481445,  1.16015625,  145336.0
pr76.tsp, christofides, 0.05324840545654297,  1.18359375,  116684.0
rat99.tsp, twice_around_tree, 0.031224966049194336,  1.97265625,  1693.0
rat99.tsp, christofides, 0.10937356948852539,  2.2109375,  1393.0
kroA100.tsp, twice_around_tree, 0.04688525199890137,  1.9765625,  27210.0
kroA100.tsp, christofides, 0.11221051216125488,  2.52734375,  23293.0
kroB100.tsp, twice_around_tree, 0.02106499671936035,  2.02734375,  25885.0
kroB100.tsp, christofides, 0.10147333145141602,  2.3125,  24012.0
kroC100.tsp, twice_around_tree, 0.04722785949707031,  1.99609375,  27968.0
kroC100.tsp, christofides, 0.11702179908752441,  2.3203125,  23470.0
kroD100.tsp, twice_around_tree, 0.0502467155456543,  1.9453125,  27112.0
kroD100.tsp, christofides, 0.125,  2.37890625,  23583.0
kroE100.tsp, twice_around_tree, 0.03125333786010742,  2.08984375,  29965.0
kroE100.tsp, christofides, 0.125,  2.4921875,  23783.0
rd100.tsp, twice_around_tree, 0.03124523162841797,  2.109375,  10790.0
rd100.tsp, christofides, 0.21506190299987793,  2.52734375,  8906.0
eil101.tsp, twice_around_tree, 0.03126025199890137,  1.953125,  830.0
eil101.tsp, christofides, 0.1562497615814209,  2.45703125,  707.0
lin105.tsp, twice_around_tree, 0.046889543533325195,  2.26953125,  19495.0
lin105.tsp, christofides, 0.1305861473083496,  2.48828125,  16320.0
pr107.tsp, twice_around_tree, 0.03731369972229004,  2.2421875,  54237.0
pr107.tsp, christofides, 0.14888906478881836,  2.546875,  47891.0
pr124.tsp, twice_around_tree, 0.06041884422302246,  2.99609375,  74139.0
pr124.tsp, christofides, 0.09374403953552246,  3.2734375,  64438.0
bier127.tsp, twice_around_tree, 0.08053755760192871,  3.0859375,  158626.0
bier127.tsp, christofides, 0.41927337646484375,  3.65234375,  132448.0
ch130.tsp, twice_around_tree, 0.06435394287109375,  3.1796875,  8129.0
ch130.tsp, christofides, 0.25789308547973633,  3.3203125,  6773.0
pr136.tsp, twice_around_tree, 0.09372568130493164,  3.640625,  151904.0
pr136.tsp, christofides, 0.11495089530944824,  3.7734375,  103771.0
pr144.tsp, twice_around_tree, 0.0905311107635498,  4.05859375,  80599.0
pr144.tsp, christofides, 0.1400909423828125,  3.859375,  70404.0
ch150.tsp, twice_around_tree, 0.11715149879455566,  4.1875,  8347.0
ch150.tsp, christofides, 0.31867408752441406,  4.62890625,  7135.0
kroA150.tsp, twice_around_tree, 0.09374737739562988,  4.21875,  35119.0
kroA150.tsp, christofides, 0.7458550930023193,  4.921875,  29688.0
kroB150.tsp, twice_around_tree, 0.10937738418579102,  4.28515625,  36150.0
kroB150.tsp, christofides, 0.6001486778259277,  4.9140625,  30053.0
pr152.tsp, twice_around_tree, 0.12030506134033203,  4.25390625,  87995.0
pr152.tsp, christofides, 0.14290452003479004,  4.25,  79311.0
u159.tsp, twice_around_tree, 0.12705731391906738,  4.74609375,  57791.0
